category_id,id,group_name,category_name,category_description,count
hep-ph,113567,Physics,High Energy Physics - Phenomenology,"Theoretical particle physics and its interrelation with experiment. Prediction of particle physics observables: models, effective field theories, calculation techniques. Particle physics: analysis of theory through experimental results.",113567
astro-ph,105317,,,,105317
hep-th,92998,Physics,High Energy Physics - Theory,"Formal aspects of quantum field theory. String theory, supersymmetry and supergravity.",92998
quant-ph,77078,Physics,Quantum Physics,Description coming soon,77078
gr-qc,52365,Physics,General Relativity and Quantum Cosmology,"General Relativity and Quantum Cosmology Areas of gravitational physics, including experiments and observations related to the detection and interpretation of gravitational waves, experimental tests of gravitational theories, computational general relativity, relativistic astrophysics, solutions to Einstein's equations and their properties, alternative theories of gravity, classical and quantum cosmology, and quantum gravity.",52365
cond-mat.mes-hall,48830,Physics,Mesoscale and Nanoscale Physics,"Semiconducting nanostructures: quantum dots, wires, and wells. Single electronics, spintronics, 2d electron gases, quantum Hall effect, nanotubes, graphene, plasmonic nanostructures",48830
cond-mat.mtrl-sci,42050,Physics,Materials Science,"Techniques, synthesis, characterization, structure.  Structural phase transitions, mechanical properties, phonons. Defects, adsorbates, interfaces",42050
math-ph,40240,Physics,Mathematical Physics,"Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories",40240
math.MP,38729,Mathematics,Mathematical Physics,"math.MP is an alias for math-ph. Articles in this category focus on areas of research that illustrate the application of mathematics to problems in physics, develop mathematical methods for such applications, or provide mathematically rigorous formulations of existing physical theories. Submissions to math-ph should be of interest to both physically oriented mathematicians and mathematically oriented physicists; submissions which are primarily of interest to theoretical physicists or to mathematicians should probably be directed to the respective physics/math categories",38729
cond-mat.str-el,37618,Physics,Strongly Correlated Electrons,"Quantum magnetism, non-Fermi liquids, spin liquids, quantum criticality, charge density waves, metal-insulator transitions",37618
stat.ML,36288,Statistics,Machine Learning,"Covers machine learning papers (supervised, unsupervised, semi-supervised learning, graphical models, reinforcement learning, bandits, high dimensional inference, etc.) with a statistical or theoretical grounding",36288
cond-mat.stat-mech,35826,Physics,Statistical Mechanics,"Phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, turbulence",35826
cs.CV,34276,Computer Science,Computer Vision and Pattern Recognition,"Covers image processing, computer vision, pattern recognition, and scene understanding. Roughly includes material in ACM Subject Classes I.2.10, I.4, and I.5.",34276
